Context,Response,Clean_Context,Clean_Response
"I have been diagnosed with general anxiety and depression by my family doctor. They wrote a prescription for me to have an emotional support dog, I have the paper work, and I gave it to my apartment manager. They said I can't keep the ESD because I'm not disabled. What do you suggest I do?","This can be a difficult situation.  Typically, only animals that are specifically trains to accomplish a specific task are legally protected as Service Animsls. Even though that can be very helpful, emotional support animals are not generally protected in the same way.You might not be able to make your landlord accommodate you. If possible, you may want to consider a different apparent that is more animal friendly.",diagnosed general anxiety depression family doctor wrote prescription emotional support dog paper work gave apartment manager said cant keep esd im disabled suggest,difficult situation typically animals specifically trains accomplish specific task legally protected service animsls even though helpful emotional support animals generally protected wayyou might able make landlord accommodate possible may want consider different apparent animal friendly
"I tried telling my husband I was depressed, and he ignored me. He said ""you're always sad or depressed."" And he picked up his phone and ignored me. I said, ""Please don't exaggerate, that isn't true."" And he said, ""Whatever babe. You just want to be sad.""
   How can I get through to him so he will take me seriously?","Ouch. It's really hard to deal with a spouse that isn't taking you seriously. In this case, I would plan for and schedule a time to talk with him about this. I would tell him that you need about 30 minutes to talk to him with minimal interruptions about something that is important to you. Schedule a time, write notes if you need reminders about what you need to express, and tell him how you feel. Ideally, you would focus more on I-statements instead of telling him what he is doing wrong. For example,  I feel ignored vs You always ignore me. By focusing on how you feel, he is less likely to feel attacked and get defensive. Some people go to couples or marriage counseling for help with communication. Chances are there are things that BOTH of you do that hurts your communication. Overall, try to talk to him directly and try not to get defensive. If he continues to say, you're always sad - then stay calm, say ""okay, can you help me understand that more?"" or ""That's interesting. Tell me what you see.""  Reach out to a couples counselor for more help with communication strategies. Sometimes a 3rd party can help you both see things in a different perspective. Hope this helps!",tried telling husband depressed ignored said youre always sad depressed picked phone ignored said please dont exaggerate isnt true said whatever babe want sad get take seriously,ouch really hard deal spouse isnt taking seriously case would plan schedule time talk would tell need 30 minutes talk minimal interruptions something important schedule time write notes need reminders need express tell feel ideally would focus istatements instead telling wrong example feel ignored vs always ignore focusing feel less likely feel attacked get defensive people go couples marriage counseling help communication chances things hurts communication overall try talk directly try get defensive continues say youre always sad stay calm say okay help understand thats interesting tell see reach couples counselor help communication strategies sometimes 3rd party help see things different perspective hope helps
"It's not entirely true to say I enjoy being sad, but I always find a way to feel that way. I listen to sad music, read tragic stories, and, in a twisted way, like how bad it makes me feel. I focus on negative aspects of my life even if they aren't legitimate or I just make it seem negative.","It sounds like you are noticing that you are drawn towards sad and negative content and it's hard to understand why. This may sound counter-intuitive, but sometimes we do things that on the surface may look problematic (or even cause us some real problems) because it serves us in some unseen way. A simple example would be somebody who is addicted to a substance; their addiction may be causing serious problems in their life, and they may even know it, but the addiction serves them by helping them to avoid painful feelings that they anticipate having if they quit using. Now I am not saying that what you describe is an addiction, it is just a really illustrative example of the unseen benefit.One thing I would be wondering about is what is the unseen benefit of seeking out sad and negative content? I'd also be wondering what your relationship is to other feelings. These are things you may benefit from exploring with a competent therapist.",entirely true say enjoy sad always find way feel way listen sad music read tragic stories twisted way like bad makes feel focus negative aspects life even arent legitimate make seem negative,sounds like noticing drawn towards sad negative content hard understand may sound counterintuitive sometimes things surface may look problematic even cause us real problems serves us unseen way simple example would somebody addicted substance addiction may causing serious problems life may even know addiction serves helping avoid painful feelings anticipate quit using saying describe addiction really illustrative example unseen benefitone thing would wondering unseen benefit seeking sad negative content id also wondering relationship feelings things may benefit exploring competent therapist
Every winter I find myself getting sad because of the weather. How can I fight this?,"Seasonal Affective Disorder (S.A.D.) is a term that reflects how many people are affected by the changing seasons, especially fall to winter.  Everyone suffers with some form of this (lessened activity levels, increased isolation, etc.) while some find that this time of year can put them into a deeper depression. If you have noticed that this happens frequently, there are some ways you can definitely help yourself going forward:1. Attend therapy to learn strategies and tools to help you to manage your mood.  It's important to stay within the therapy until you feel you have mastered these tools. 2. Push yourself to interact more with your social groups and other positive activities. It's easy to go out and spend the day outside in the summer months, when the temperature is warm and the sun shines for long periods of the day, but it seems harder to find fun ways to spend your time when the temperature drops and darkness comes on so quickly.  Perhaps winter time could become the time of year where you and your friends have weekly board game nights, complete with hot chocolate and a fire?3. You may want to consider the purchase of a S.A.D. Light.  These are lights that expose you to additional ultra violet light to increase the vitamin D in our bodies, as well as the release of growth hormone (which releases when we wake up). There are mixed reviews of these products, however, and they can be expensive.",every winter find getting sad weather fight,seasonal affective disorder sad term reflects many people affected changing seasons especially fall winter everyone suffers form lessened activity levels increased isolation etc find time year put deeper depression noticed happens frequently ways definitely help going forward1 attend therapy learn strategies tools help manage mood important stay within therapy feel mastered tools 2 push interact social groups positive activities easy go spend day outside summer months temperature warm sun shines long periods day seems harder find fun ways spend time temperature drops darkness comes quickly perhaps winter time could become time year friends weekly board game nights complete hot chocolate fire3 may want consider purchase sad light lights expose additional ultra violet light increase vitamin bodies well release growth hormone releases wake mixed reviews products however expensive
"I am going through a divorce. He is extremely angry. He refuses to physically assist me with our teenager daughter. I have no extended family support. Often times, I feel overwhelmed, tired, and joyless. I feel out of control, sad and depressed on a daily basis. I am just going through the motions of life every day. I am in my mid-50s. I have almost 29 years on my job. How can I handle this?","Going through a divorce is often a very low point for the people involved.Are you surprised that your soon to be ex doesn't help with your teenage daughter?Usually patterns and dynamics in parenting are not  sudden developments.Is it possible that what you're feeling now is more intensity to the stress of parenting by yourself, not that this is a sudden problem?This is relevant because you may be more familiar and more capable than you're giving yourself credit.  The lack of emotional support is definitely stressful.Your parenting skills may still be at the level at which they were prior to the divorce.Take your emotional weariness seriously and reflect on the various ways of stress relief which are available and interest you.Give yourself extra time to rest, nurture yourself and be flexible in finding what feels right for stabilizing yourself.Since you talk about your daughter and help in physical ways, if it is a matter of strength that you need, talk with your attorney so that the child custody agreement includes whatever is physically necessary in the way of strength, in taking care of your daughter.The Courts are very good at making effort that the custody agreement offers proper care to the kids.",going divorce extremely angry refuses physically assist teenager daughter extended family support often times feel overwhelmed tired joyless feel control sad depressed daily basis going motions life every day mid50s almost 29 years job handle,going divorce often low point people involvedare surprised soon ex doesnt help teenage daughterusually patterns dynamics parenting sudden developmentsis possible youre feeling intensity stress parenting sudden problemthis relevant may familiar capable youre giving credit lack emotional support definitely stressfulyour parenting skills may still level prior divorcetake emotional weariness seriously reflect various ways stress relief available interest yougive extra time rest nurture flexible finding feels right stabilizing yourselfsince talk daughter help physical ways matter strength need talk attorney child custody agreement includes whatever physically necessary way strength taking care daughterthe courts good making effort custody agreement offers proper care kids
"I just don't know what I want in life anymore. I'm can't figure out what it is that is keeping me distracted and unfocused. I can't put things into perspective at all. I'm just stuck, and I'm disappointed with my lack of accomplishments.","If you are a people-pleaser type or a natural caretaker, you can slowly ""lose yourself"" over time if you are always tending to the needs of others and neglecting yourself.  If this sounds like a familiar pattern for you, this may have happened without you even realizing it if you were raised in a family where you had to pick up the slack alot.  Maybe your parents were addicts or they might have even just worked all the time and you learned to ""take care of everything"" because that is what you had to do to help the family run smoothly. Over time, a person who grows up in this type of environment learns that you put the needs of others before your own.  You might also be stuck in these types of patterns in intimate relationships as well; if you completely give yourself over to your significant other and you don't create a life for yourself with your own interests and supportive friends, you are at risk of losing what is unique and amazing about you.  If you grew up in a family where you learned this role out of survival or because it was needed to take care of your family, it's easy to re-create this in adult relationships.In both scenarios, if there is no awareness that this ""self sacrifice at the expense of others"" is going on, your identity is shaped around being a caretaker/enabler/people-pleaser and down the road it can lead to depression, low self esteem, and a confused sense of self.  Basically, you spend so much time helping other people that you don't make time for yourself or create a life of fulfillment.  Before you realize it, you have been living a life for others instead of yourself and you have no idea who YOU are.  Supporting loved ones and friends is important and certainly admirable, but if you are always that person that rescues, those that rely on you begin to take advantage of you and they will suck you dry if you let them.  In conclusion, learning to set boundaries with those in your life that are too needy becomes a really important part of the process when you begin to recognize that you are unhappy and unfulfilled in life.  It sounds like you may be at that crossroads right now.  Take one small step at at a time.  Identify the worst offenders in your life that suck time and energy, and limit your contact and/or set some strong boundaries with those people so you can refocus and do some soul-searching.  Meanwhile, engage in pleasurable activities with people you enjoy being with, get yourself outside in the fresh air, get some good sleep, and eat some nourishing food!",dont know want life anymore im cant figure keeping distracted unfocused cant put things perspective im stuck im disappointed lack accomplishments,peoplepleaser type natural caretaker slowly lose time always tending needs others neglecting sounds like familiar pattern may happened without even realizing raised family pick slack alot maybe parents addicts might even worked time learned take care everything help family run smoothly time person grows type environment learns put needs others might also stuck types patterns intimate relationships well completely give significant dont create life interests supportive friends risk losing unique amazing grew family learned role survival needed take care family easy recreate adult relationshipsin scenarios awareness self sacrifice expense others going identity shaped around caretakerenablerpeoplepleaser road lead depression low self esteem confused sense self basically spend much time helping people dont make time create life fulfillment realize living life others instead idea supporting loved ones friends important certainly admirable always person rescues rely begin take advantage suck dry let conclusion learning set boundaries life needy becomes really important part process begin recognize unhappy unfulfilled life sounds like may crossroads right take one small step time identify worst offenders life suck time energy limit contact andor set strong boundaries people refocus soulsearching meanwhile engage pleasurable activities people enjoy get outside fresh air get good sleep eat nourishing food
"I'm not suicidal and wouldn't take my own life, but sometimes, I've wished for an accident to occur and take it. I feel like I just shouldn't be here and wish I wouldn't have been born so I didn't have to go through life. For me, it's a chore, but I don't know if that's normal or a sign of something.","Sounds like a sign of great unhappiness, or sadness, or insecurity.The real way you'll find out what this feeling is about is to ask yourself your own question.  Inside you are the only one who will feel when you discover the true answer to your question.Everyone feels some amount of discontent in their lives once in a while. Its normal to not feel entirely happy all the time.Try to accept your unhappiness as motivation to learn more about who you are, what you like, whom you like.Study yourself bc this way you increase the chance to find a road which feels right and happy.",im suicidal wouldnt take life sometimes ive wished accident occur take feel like shouldnt wish wouldnt born didnt go life chore dont know thats normal sign something,sounds like sign great unhappiness sadness insecuritythe real way youll find feeling ask question inside one feel discover true answer questioneveryone feels amount discontent lives normal feel entirely happy timetry accept unhappiness motivation learn like likestudy bc way increase chance find road feels right happy
"I can't even smile or fake one. I can't feel happiness about anything and I can't show love towards another person not even my girlfriend. I hate myself sometimes. All I see is ugly.
   I can't get over the loss of a loved one and I'm not close to my family. What can I do?","Trust and believe your own feelings.Emotions are real and reflect how someone feels about a situation.Since you're sad about losing a loved one, be patient w your feelings about this.  Basically, be guided by how you feel and eventually you will feel different emotions which I hope will be happier ones.",cant even smile fake one cant feel happiness anything cant show love towards another person even girlfriend hate sometimes see ugly cant get loss loved one im close family,trust believe feelingsemotions real reflect someone feels situationsince youre sad losing loved one patient w feelings basically guided feel eventually feel different emotions hope happier ones
My girlfriend just quit drinking and she became really depressed. She told me that she wants to move. What can I do to help her? I want her to stay.,"You're probably not going to like my answer.Your question says a lot about what YOU want rather than what she wants or what may be best for her. Sometimes, what's best for a person is the hardest thing to do, and may be completely opposite of what YOU want.Addictions don't happen in a vacuum. If you've had any experience with addicts at all, then I'm sure you've heard the term ""enabler"". A lot of the times, when people think they're ""helping"", they're actually enabling the addict to continue their self-destructive behavior. Tough love and clear boundaries are needed in a lot of situations, but especially with addictions. Family and friends are often the biggest contributing factor to someone choosing to use/drink, continuing to do so, or relapsing back into it.You said she recently quit. You said she is depressed. She wants to move. When a person receives counseling for addictions, they are encouraged to make changes like this. They need to break the habit, and this means removing people from their lives at times. It means moving to new locations. Anything that may trigger a relapse needs to be identified and removed. Not only that, but the addict needs to do a lot of personal reflection to figure out WHY they use/drink in the first place, and not only break the physical addiction to it, but deal with whatever is the root cause that led them to use in the first place. She may need some time alone to figure out who she is as a person, time to make some decisions for herself and do what she needs to do to be healthy.Don't pressure her to stay. Let her have the freedom to do what she needs to do. If she stays, the decision needs to be hers and hers alone. It doesn't need to be made under pressure. That will only lead to resentment. Support her, but don't try to change her or make her do anything, especially for selfish reasons. Let her go. It sounds like she needs some time to focus on herself right now. It wouldn't be a bad idea for you to do the same.",girlfriend quit drinking became really depressed told wants move help want stay,youre probably going like answeryour question says lot want rather wants may best sometimes whats best person hardest thing may completely opposite wantaddictions dont happen vacuum youve experience addicts im sure youve heard term enabler lot times people think theyre helping theyre actually enabling addict continue selfdestructive behavior tough love clear boundaries needed lot situations especially addictions family friends often biggest contributing factor someone choosing usedrink continuing relapsing back ityou said recently quit said depressed wants move person receives counseling addictions encouraged make changes like need break habit means removing people lives times means moving new locations anything may trigger relapse needs identified removed addict needs lot personal reflection figure usedrink first place break physical addiction deal whatever root cause led use first place may need time alone figure person time make decisions needs healthydont pressure stay let freedom needs stays decision needs alone doesnt need made pressure lead resentment support dont try change make anything especially selfish reasons let go sounds like needs time focus right wouldnt bad idea
"I'm a teenager. My dad has been jail for the last five years. It's tough, but my mom really tries to give a normal life to my two sisters, my brother, and I. I feel like I took upon a parent role when I'm the second youngest, and I'm not stable. My mother and sisters say I'm overdramatic. I’m just so hurt, and I keep breaking down.","Each person handles themselves differently in any situation.Since you are willing to speak about how you feel, keep looking for blogs and forums on whatever topics you feel most describe your current circumstance.Your mother and sister, even though they are family seem to prefer the opposite method to yours.Find your own path of supportive other people and possibly a therapist.This way you’ll have understanding and validation which your mom and sister don’t want to give you right now.",im teenager dad jail last five years tough mom really tries give normal life two sisters brother feel like took upon parent role im second youngest im stable mother sisters say im overdramatic i’m hurt keep breaking,person handles differently situationsince willing speak feel keep looking blogs forums whatever topics feel describe current circumstanceyour mother sister even though family seem prefer opposite method yoursfind path supportive people possibly therapistthis way you’ll understanding validation mom sister don’t want give right
"I'm in my mid 20s with a husband and children. I love my family, but I feel like I've lost my identity, and I don't know who I am other than a mom and wife. At times, all I can think is what I gave up and how I feel unhappy and trapped, but I know I'd feel like worse without them. I loathe myself at times. I have an amazing life, so why can't I just enjoy it?","Good for you on being sensitive to your human need for personal evolution.Wife and mother are meaningful positions.  And in your case, in order to feel your own growth, other areas of who you are would like your attention.Give yourself time to allow your interest to wander in order to find the area of growth which will satisfy you.Just like you know now that you'd like more than your current situation, trust yourself to know you will also know when you've arrived at another road you'd like to take for your own happiness.",im mid 20s husband children love family feel like ive lost identity dont know mom wife times think gave feel unhappy trapped know id feel like worse without loathe times amazing life cant enjoy,good sensitive human need personal evolutionwife mother meaningful positions case order feel growth areas would like attentiongive time allow interest wander order find area growth satisfy youjust like know youd like current situation trust know also know youve arrived another road youd like take happiness
"I have been dealing with depression and anxiety for a number of years. I have been on medication, but lately my depression has felt worse. Can counseling help?","Thank you for asking this important question. I find that there are three steps to getting ready for treatment. Step one is expressing interest in wanting to receiving treatment for the outcome of positive behavioral change. Congratulations you did the first step! You are showing your readiness to start counseling by asking this question. Now the second step is to find a counselor who specializes in treating clients with Anxiety and Depression. The therapeutic orientations I have found to be helpful in treating clients with  Anxiety and Depression are a combination of Cognitive Behavioral Therapy with Mindfulness, and Solution Focused Brief Therapy. Receiving meditation for your symptoms if part of the treatment, and the other part is receiving counseling to increase your resilience for future events. Research has found that medication and psychotherapy treatments together shows the most effective outcome for Depression.  The third step is to increase your positive self-talk to motivate yourself to attend treatment. As counselors, we are aware of the anxieties and fears that are associated with talking to a new professional for the first time. However, remind yourself that you are doing this to improve your well being. I hope this was helpful, and good luck with your treatment journey.",dealing depression anxiety number years medication lately depression felt worse counseling help,thank asking important question find three steps getting ready treatment step one expressing interest wanting receiving treatment outcome positive behavioral change congratulations first step showing readiness start counseling asking question second step find counselor specializes treating clients anxiety depression therapeutic orientations found helpful treating clients anxiety depression combination cognitive behavioral therapy mindfulness solution focused brief therapy receiving meditation symptoms part treatment part receiving counseling increase resilience future events research found medication psychotherapy treatments together shows effective outcome depression third step increase positive selftalk motivate attend treatment counselors aware anxieties fears associated talking new professional first time however remind improve well hope helpful good luck treatment journey
"There are many people willing to lovingly provide me with a home. I have food, clothes, and a university education, but I never feel like I belong. Even when I have a good time with people who are supposed to be close, I feel like I'm just out with friends and I never go home.","From the little bit you wrote, my guess is you haven't figured out where and how to lay down your own set of roots.Usually people who have a university level eduction are old enough to work in order to support themselves.Unless you have a medical condition which limits or prevents you from working a full-time job, would you guess that the effort and thought involved in deciding in what professional area and geographic location to look for work, would offer you a way to establish your identity?My suggestion is to pay more attention to your own likes, dislikes, and interests.   To know these areas more deeply would define the type of people with whom you identify, have a common interest and with whom you'd like to socialize.The more you realize who you are, the easier time you'll have to find like-minded others and feel securely at home with them and yourself.Again, if you have a medical disability or condition which prevents employment or easily socializing with other people, then this advice would need to be modified for your specific strengths.",many people willing lovingly provide home food clothes university education never feel like belong even good time people supposed close feel like im friends never go home,little bit wrote guess havent figured lay set rootsusually people university level eduction old enough work order support themselvesunless medical condition limits prevents working fulltime job would guess effort thought involved deciding professional area geographic location look work would offer way establish identitymy suggestion pay attention likes dislikes interests know areas deeply would define type people identify common interest youd like socializethe realize easier time youll find likeminded others feel securely home yourselfagain medical disability condition prevents employment easily socializing people advice would need modified specific strengths
